Chapter 3: Equipment

The Basics of Equipment
All characters are assumed to begin with sturdy clothes suitable for adventuring. Any other equipment desired should be purchased using the character’s starting wealth of 3d6x10gp. 
Each character should purchase equipment suitable for their class. For example, fighters should purchase arms and armor to fight monsters and survive blows, while thieves need rope, crowbars, lock picks, and other special tools to scale obstacles, find traps, and open locks. Clerics will require holy symbols to drive back undead and mages will need spellbooks to record their dweomers. 

Coins and Money
Equipment is purchased using money. Paper currency is non-existent in the world of Adventurer Conqueror King, so money takes the form of coins of precious metal, the most important of which is the gold piece (gp). A gold piece is worth 2 electrum pieces (ep) or 10 silver pieces (sp). Each silver piece is worth 10 copper pieces (cp). In addition to copper, silver, electrum, and gold coins, there are also platinum pieces (pp), which are each worth 5gp. 

What’s a Gold Piece Worth?
To put the value of currency in perspective, the Standard of Living table, below, shows how far a gold piece will go towards cost of living at different standards of comfort. A single gold piece is enough for a peasant to subsist at a wretched quality of life. Early in their career, adventurers will typically live on a few dozen gold pieces per month, enough to eat and sleep at an inn. A dragon’s treasure hoard of 50,000gp might keep a village of peasants alive for decade, but merely cover a prince’s monthly budget. Wealth is assumed to be highly concentrated in ACKS campaign worlds.

Exchange Value
Coins			Cp	Sp	Ep	Gp	Pp
Copper Piece (cp) =	1	1/10	1/50	1/100	1/500
Silver Piece (sp) =	10	1	1/5	1/10	1/50	
Electrum Piece (ep) =	50	5	1	1/2	1/10
Gold Piece (gp) =   	100	10	2	1	1/5
Platinum Piece (pp) =	500	50	10	5	1

Standard of Living  	Monthly Cost		Common Professions
Wretched    		1gp			Serfs and peasants
Meager			3gp-12gp		Unskilled manual laborers
Adequate		12gp-40gp		Skilled laborers or journeyman crafters, 1st level adventurers
Comfortable		40gp-100gp		Master craftsmen or yeomen farmer (85 acres), 2nd level adventurers
Prosperous		100gp-450gp		Master professionals or landed patrician (200 acres), 3rd-4th level adventurers
Affluent		450gp-2,000gp		Barons or wealthy patricians, 5th-7th level adventurers
Sumptuous		2,000-12,000gp		Marquis or counts, 8th-9th level adventurers
Luxuriant		12,000-80,000gp 	Dukes or princes, 10th-12th level adventurers
Lavishly Opulent	80,000gp+		Kings or emperors, 13th-14th level adventurers

Purchasing Equipment	
The arms, armor, and mundane gear available for purchase are listed on the Weapons and Equipment tables. These lists will also be handy when characters need to restock supplies between adventures. The equipment and other items listed on the Weapons and Equipment table are described in detail in the Equipment Descriptions section. 
Should the players wish to purchase items not provided in the equipment lists, the Judge may use the items available as guidelines for determining new items’ characteristics and including prices.
All purchases should be recorded on the character sheet, noting how much money remains afterward. Most adventurers do not begin play with enough wealth to get everything they want – indeed, the quest for wealth is one of the primary motives for adventuring at all!
Regardless of class limitations, characters of any class may purchase, carry, and use any weapons or armor desired. However, characters who equip themselves with weapons and armor unusable by their class will fight as 0th level characters while so equipped. They also will receive no bonus on their attack throws or armor class from ability scores or equipment, may not use any of their class powers, and do not gain XP. 
EXAMPLE: Quintus, a mage, dons plate armor. While so equipped, he fights as a 0th level character, loses any attack throw or AC bonuses from his ability scores or equipment, cannot cast spells, and does not gain XP.

Equipment Availability
Adventurers may sometimes wish to purchase equipment in greater volume than the town they are in can handle. This is not normally a concern when characters are just beginning their career. But if experienced adventurers decide they want to use a dragon’s hoard to equip all their followers with fur cloaks (15gp each) and purchase a dozen heavy warhorses (750gp each) with plate barding (600gp each), they may find such goods are simply unavailable in the quantities they desire! 
The amount of equipment available for purchase is determined by the price of the equipment relative to the size of the market the adventurers are in. A market can be anything from a village’s humble fair to a city-state’s outdoor bazaar to the ports of a major metropolis. Markets are rated by market class from I to VI, which rate their size and importance.
The vast mercantile hubs of empires, with urban populations of 100,000 or more, constitute Class I. Major ports, national capitals, and other large cities of 25,000 or more inhabitants constitute Class II. Provincial capitals and medium-sized cities of 8,750 to 25,000 inhabitants make up Class III. Small cities and large towns of 3,000 to 8,750 inhabitants make up Class IV. Small towns and large villages of 1,250 to 3,000 inhabitants are Class V. Any village of 1,250 inhabitants or less is Class VI. Market classes are also important for hiring henchmen, as discussed in the Hirelings, Henchmen, Mercenaries, and Specialists section below, and for trade and commerce, as discussed in the Mercantile Ventures section in the Campaigns chapter. 
The Equipment Availability by Market Class table shows how many units of any piece of equipment are available in each type of market each month. Some values will indicate a percentage chance; this is chance of one unit being present at all in any given month. 
Note that the values given are the number of each specific item, not the total number of items at that price level. For instance, a Class IV market will have 5 swords, 5 battle axes, and 5 of each other item priced at 2-10gp. Multiple small items sold as a bundle (such as 12 spikes, 6 torches, 20 arrows, etc) count as one item for purposes of the Equipment Availability by Market Class table.

Equipment Availability by Market Class 
Price	  	       Class I      Class II	       Class III	Class IV	Class V		Class VI
1gp or less	       1,700 	    585	  	       260   		65    		30    		10
2gp-10gp	       100	    30		       15		5		1		1
11-100gp	       15	    5		       2		1		25%		10%
101-1,000gp	       7	    2		       1		25%		10%		5%
1,001-10,000gp	       2	    1		       25%		10%		5%		1%
10,001gp or more       10%	    5%		       2%		NA		NA		NA

EXAMPLE: Marcus is in a city of 20,000, a Class III market. He wants to buy a war galley (60,000gp), medium warhorse (250gp), 2 suits of plate armor (60gp each), 20 swords (10gp each), 100 bundles of 6 torches (1sp each) and 200 flasks of oil (3sp each). A Class III market has 260 units of any equipment priced 1gp or less, so he finds the 100 bundles of 6 torches and 200 flasks of oil without problem. A Class III market has only 15 units of any equipment priced 10gp or less, so only 15 swords are available. Since he needs the weapons to equip his men, he settles on 15 swords and 5 battle-axes. A Class III market has 2 units of equipment priced at 11-100gp and 1 unit at 101-1,000gp, so he is able to buy the 2 suits of plate armor and medium warhorse. There is only a 2% chance of a war galley being available, and the Judge rolls a 42; Marcus cannot find that type of ship in the city this month.

Commissioning Equipment
If equipment the adventurers desire to purchase is not available, they may commission it to be created. The advantage of commissioning equipment is that more equipment can be commissioned than is available as inventory; treat the equipment as if it were one price category less expensive to calculate the volume available. The disadvantage of commissioning equipment is that it is not immediately available. Buildings and vehicles, which can be built by large groups, are constructed at a rate of 1 day per 500gp value. Animals take 1 day per 1gp value to find and train. Other equipment takes 1 day per 5gp value. 
EXAMPLE: Marcus decides he’d like to commission a shipwright to build a war galley. Since Marcus is commissioning the war galley, the Judge checks for availability as if the war galley were one price category less expensive, putting it in the 1,001-10,00gp row. There is a 25% chance that a war galley could be commissioned in a Class III city this month. The Judge rolls a 17 on 1d100, so a shipwright is available. It will take 120 days for the war galley to be finished (60,000gp / 500gp per day). 

Weapons and Equipment
Armor				Cost	AC		|Weapons		           Cost		Damage*
Stabling (draft/riding horse, one night)	2sp-5sp			|Hut (wooden)				50gp
Stabling (warhorse, one night) 	  		5sp-1gp			|Townhouse (stone)			1,200gp
Wagon	 	    				200gp			

Equipment Descriptions
Arbalest: An arbalest is a heavy crossbow, pulled with the mechanical assistance of a rack and pinion or windlass. Historical examples include the late medieval arbalest and the Three Kingdoms era Chinese heavy crossbow.
Axe, Battle: This is a single- or double-bitted axe with a 24” to 48” haft, designed for battle and useable with one or two hands. Historical examples include the Scythian sagaris, Viking bearded and skeg axe, Celtic war axe, medieval battle axe, and Persian tabarzin.
Axe, Great: This is a double-bitted axe or long-shafted single-bitted axe, with a 48” or longer haft, requiring two hands to use. Historical examples included the Greek double-bitted labrys, Viking long bearded axe, and the English longaxe. Great axes impose a -1 penalty on initiative rolls. 
Axe, Hand: This is a single-bitted axe, with a 12” to 24” haft, balanced for throwing. Historical examples include the Frankish francisca, American tomahawk, and African mambele and kasuyu. 
Backpack:  A backpack has two straps and can be worn on the back, keeping the hands free. It holds up to 4 stone (40lb).
Ballista: A siege weapon, powered either by composite bow or torsion spring mechanisms, which hurls large bolts. Historical examples include the Greek oxybeles, Roman ballista, and medieval springald.  
Barding: Barding is horse armor made from a variety of materials (see the descriptions of each type of Armor for details). Historical examples include Byzantine and Persian cataphract’s barding and medieval destrier’s barding. 
Banded Plate Armor: Banded plate armor is made of overlapping horizontal strips of laminated metal sewn over leather. It is comparable in protection to lamellar armor, and superior to chain mail. Banded plate is commonly worn as a cuirass with shoulder protection, with reinforced leather protecting the arms and legs. The chief historical examples are Sumerian overlapping plate armor and Roman lorica segmenta.
Belladonna: Belladonna, also known as deadly nightshade, is a poisonous flower. A character who eats a pound of belladonna within one hour of being infected with lycanthropy may make a saving throw versus Poison to shake off the affliction. If the character fails the saving throw, however, he dies from the poison after one turn. Even if the poison is then neutralized or the character is raised from the dead, he will still be afflicted with lycanthropy, and further doses of belladonna will be of no use. 
Birthwort: Birthwort, also known as snakeroot, is a healing herb used as a remedy for snake bites and other poisons. Birthwort can be applied as a poultice to a poisoned wound by an adventurer with the Healing proficiency. Used in this manner, it provides a +2 bonus on the Healing proficiency throw to neutralize poison. 
Boat, River:  This boat is 20’ to 30’ long, has a “beam” (width) of 10’ to 15’, and has a “draft,” or surface depth, of between 2-3’ when in the water. Riverboats are rowed, or poles are used to push it along. A river boat requires at least 1 rower as crew (see the Hirelings, Henchmen, Mercenaries, and Specialists section, later in this chapter). The cost of the boat increases by 1,000gp if it has a roof. A riverboat can carry 400 stone (4,000lb) plus crew. 
Boat, Sailing:  This small boat has a single mast, with a length of 20’ to 40’, a beam of 10’ to 15’, and a draft of 2’ to 3’. Sailing boats are primarily employed for fishing on lakes or coasts. A sailing boat requires at least 1 sailor as crew. A sailing boat can carry up to 600 stone (6,000lb) plus crew.
Bola: These are throwing weapons made of weights on the ends of interconnected cords, designed to capture animals by entangling their legs. A character can use a bola to make a knock down or wrestling maneuver (as described in special maneuvers in Chapter 6) with a thrown attack.
Boots: Low boots come to mid-calf. High boots come to the knee or thigh and are popular for riding. 
Bow, Composite: A composite bow is a recurved bow made of laminated wood, horn, and sinew. Composite bows are time consuming and expensive to craft but offer a better combination of mobility and power than longbows or shortbows. Historical examples include the Scythian horn bow, Chinese laminated bamboo bow, Greek and Roman composite bow, Mongolian composite bow, and Japanese yumi.  
Bow, Long: A long bow is made from a single piece of wood, as tall as the person who uses it. Equal in range and power to more expensive composite bows, longbows require substantial strength (STR 9 or more) and cannot be used by mounted troops. Historical examples include the ancient Indian longbow, the Nubian longbow, and the Welsh and English longbow. 
Bow, Short: A short bow is made from a single piece of wood, usually around 4’ tall. Shortbows lack the range and power of either longbows or composite bows, but are cheap and fast to make. Historical examples include the Neolithic short bow and Comanche self bow. 
Candles: A candle dimly illuminates a 5’ radius and burns for 1 hour. Wax candles burn cleanly, but tallow candles produce a foul smelling smoke. Adventurers carrying tallow candles will never surprise creatures with keen olfactory senses.  
Canoe:  A canoe consists of frame of light wood wrapped with bark, hides, canvas, or other waterproofed covering. Canoes are primarily used on rivers and in swamps. Canoes have a 15’ length, 5’ beam, ½’ draft, and can carry up to 60 stone (600lb) (plus crew). They can be carried overland by two people, at a cost of 5 stone of encumbrance. 
Cart, Small:  A small cart is an open, two-wheeled vehicle meant for personal transport. It may be pulled by one or two mules. If the cart is pulled by only one mule, it can transport up to 40 stone at 60’ per turn, or up to 60 stone at 30’ per turn. If pulled by two mules, it can transport up to 80 stone at 60’ per turn, or up to 120 stone at 30’ per turn. Carts may only move through deserts, mountains, forests, or swamps if a road is available. 
Cart, Large:  A large cart is an open, two-wheeled vehicle meant for shipment. It may be pulled by one or two heavy horses. 2 mules or medium horses can be substituted for 1 heavy horse. If the cart is pulled by only one heavy horse, it can transport up to 80 stone at 60’ per turn, or up to 120 stone at 30’ per turn. If pulled by 2 heavy horses, it can transport up to 160 stone at 60’ per turn, or up to 240 stone at 30’ per turn. Carts may only move through deserts, mountains, forests, or swamps if a road is available.
Catapult: A catapult is a siege weapon, powered by either torsion or fixed counter-weight mechanisms, which hurls rocks, burning pitch, or other projectiles. Light catapults inflict 3d6 damage in a 5’ radius, while heavy catapults inflict 4d6 damage in a 10’ radius. Historical examples include the Roman onager and medieval mangonel and couillard.  
Chain Mail Armor: Chain mail is made of small metal rings linked together in a pattern to form a mesh. Chain mail is superior in protection to leather-based armors but inferior to metal scale or plate-reinforced armors. Chain mail is commonly worn as a shirt and coif, with lighter chain, ring mail, or hardened leather protecting the arms and legs. Historical examples include Viking byrnies, Norman mail, and Roman lorica hamata.  
Cloak: A cloak is a cloth, fur, or leather garment of knee to ankle length, worn outdoors like an overcoat. Cloaks usually include a hood.  Adventurers often favor military cloaks, generally worn pinned on one shoulder for ease of movement and access to a sword.
Club: A club is any simple bludgeon used to batter opponents.
Comfrey: Comfrey, also known as bruisewort and knitbone, is a powerful healing herb. An adventurer with Healing proficiency can use a poultice of comfrey to treat a wounded character immediately after a battle. This restores 1d3hp of damage. A character cannot be treated with comfrey more than once per day.
Cottage: A cottage is a 20’ high, 30’ square wooden building with a thatched roof and earthen floor, suitable for a wealthy peasant family. 
Crossbow: A crossbow is a bow mounted cross-wise on a stock with a trigger. It fires squat projectiles called bolts. Crossbows are light enough to pull by hand or with a quick drawing lever and are much easier to use than bows. Historical examples are the Greek gastraphetes, Roman arcuballista, Chinese handheld crossbow, and medieval crossbow and cavalry cranequin.   
Crowbar:  A crowbar is 2’ to 3’ long and made of solid iron. This object can be used for forcing doors and other objects open.
Dagger: A dagger has a small 6” to 12” blade, either single-edged for cutting, or doubled edged for stabbing. Daggers may be used in melee or for throwing. Historical examples include the Asian kris, medieval poniard, Japanese tanto, Scottish dirk, and Renaissance stiletto. Some daggers have blades coated with silver for use against enchanted creatures.
Dart: A dart is any small projectile designed to be thrown.  Most darts are fletched wooden shafts, ranging in length from 6” to 2’ long, but they may also be metal spikes or stars. Historical examples include the Roman plumbata, Macedonian kestros, and Japanese shuriken.
Dog: Hunting dogs are fast, lean hounds trained to track and bring down prey by working in packs. Most hunting dogs can scent prey, giving them the equivalent of Tracking proficiency. War dogs are heavy, fierce mastiffs trained to kill on command. While dangerous, they are capable of great loyalty to their masters when properly trained. See the Monsters chapter for game statistics.
Donkey: A donkey can carry its normal load of 8 stone and move 120’ per turn. A donkey can carry its maximum load of 16 stone and move 60’ per turn. 
Flail: This is a bludgeoning weapon derived from the agricultural flail with a striking head connected to the haft by a flexible chain. Flails are useable with one or two hands. Historical examples include the medieval ball-and-chain, Japanese rentsuru and nunchaku, and Chinese meteor hammer.
Galley, Large:  This is a large fully decked ship with a single mast, one large square sail, and multiple banks of oars. Large galleys are 120’ to 150’ length, 15’ to 20’ beam, and 3’ draft, and can carry up to 4,000 stone (40,000lb) cargo in addition to its crew. A large galley is generally crewed by a captain, 50 marines, 20 sailors, and 180 rowers. Large galleys may be equipped with up to 2 light catapults, one at the bow and one at the stern, and a naval ram. Catapults must be bought separately, while a naval ram increase the cost of the ship by 1/3. A heavy catapult can substitute for 2 light catapults. A historical example is the Mediterranean trireme. 
